timestamp(ms),Angle,Pulses,Speed,
"1682138211,183","180",,,
"1682138211,184",,"0","0,08",
"1682138211,19","178,53","-1","134,12",
"1682138211,196","177,06","-2","176,93",
"1682138211,201","175,59","-3","208,68",
"1682138211,205","174,12","-4","236,97",
"1682138211,209","172,65","-5","258",
"1682138211,212","171,18","-6","275,33",
"1682138211,216","169,71","-7","291,72",
"1682138211,219","168,24","-8","312,11",
"1682138211,222","166,78","-9","329,82",
"1682138211,225","165,31","-10","342,94",
"1682138211,227","163,84","-11","359,71",
"1682138211,23","162,37","-12","368,19",
"1682138211,233","160,9","-13","376,51",
"1682138211,235","159,43","-14","384,02",
"1682138211,238","157,96","-15","397,46",
"1682138211,24","156,49","-16","411,86",
"1682138211,243","155,02","-17","418,76",
"1682138211,245","153,55","-18","431,03",
"1682138211,247","152,08","-19","435,54",
"1682138211,25","150,61","-20","437,83",
"1682138211,252","149,14","-21","443,26",
"1682138211,254","147,67","-22","454,55",
"1682138211,256","146,2","-23","466,42",
"1682138211,258","144,73",,,
"1682138211,259",,"-24","469,92",
"1682138211,26","143,27","-25","479,85",
"1682138211,262","141,8",,,
"1682138211,263",,"-26","482,63",
"1682138211,265","140,33","-27","481,7",
"1682138211,267","138,86","-28","484,5",
"1682138211,269","137,39","-29","496,03",
"1682138211,271","135,92","-30","506,07",
"1682138211,273","134,45","-31","507,1",
"1682138211,275","132,98","-32","516,53",
"1682138211,277","131,51","-33","516,53",
"1682138211,279","130,04","-34","515,46",
"1682138211,28","128,57","-35","516,53",
"1682138211,282","127,1","-36","526,32",
"1682138211,284","125,63","-37","535,33",
"1682138211,286","124,16","-38","535,33",
"1682138211,288","122,69","-39","543,48",
"1682138211,29","121,22","-40","542,3",
"1682138211,292","119,75","-41","539,96",
"1682138211,294","118,29","-42","539,96",
"1682138211,295","116,82","-43","549,45",
"1682138211,297","115,35","-44","559,28",
"1682138211,299","113,88","-45","558,04",
"1682138211,301","112,41","-46","565,61",
"1682138211,302","110,94","-47","564,33",
"1682138211,304","109,47","-48","559,28",
"1682138211,306","108","-49","559,28",
"1682138211,308","106,53","-50","568,18",
"1682138211,309","105,06","-51","577,37",
"1682138211,311","103,59","-52","576,04",
"1682138211,313","102,12","-53","582,75",
"1682138211,315","100,65","-54","580,05",
"1682138211,316","99,18","-55","574,71",
"1682138211,318","97,71","-56","574,71",
"1682138211,32","96,24","-57","584,11",
"1682138211,321","94,78","-58","591,02",
"1682138211,323","93,31","-59","589,62",
"1682138211,325","91,84","-60","596,66",
"1682138211,326","90,37","-61","593,82",
"1682138211,328","88,9","-62","588,24",
"1682138211,33","87,43","-63","585,48",
"1682138211,332","85,96","-64","595,24",
"1682138211,333","84,49","-65","603,86",
"1682138211,335","83,02","-66","600,96",
"1682138211,337","81,55","-67","606,8",
"1682138211,338","80,08","-68","603,86",
"1682138211,34","78,61","-69","598,09",
"1682138211,342","77,14","-70","596,66",
"1682138211,343","75,67","-71","603,86",
"1682138211,345","74,2","-72","611,25",
"1682138211,346","72,73","-73","609,76",
"1682138211,348","71,27","-74","614,25",
"1682138211,35","69,8","-75","612,75",
"1682138211,352","68,33","-76","605,33",
"1682138211,353","66,86","-77","603,86",
"1682138211,355","65,39","-78","612,75",
"1682138211,356","63,92","-79","618,81",
"1682138211,358","62,45","-80","617,28",
"1682138211,36","60,98","-81","623,44",
"1682138211,361","59,51","-82","617,28",
"1682138211,363","58,04","-83","612,75",
"1682138211,364","56,57","-84","609,76",
"1682138211,366","55,1","-85","617,28",
"1682138211,368","53,63","-86","626,57",
"1682138211,369","52,16","-87","621,89",
"1682138211,371","50,69","-88","628,14",
"1682138211,372","49,22","-89","625",
"1682138211,374","47,75","-90","617,28",
"1682138211,376","46,29","-91","614,25",
"1682138211,377","44,82","-92","621,89",
"1682138211,379","43,35","-93","632,91",
"1682138211,38","41,88","-94","626,57",
"1682138211,382","40,41","-95","632,91",
"1682138211,384","38,94","-96","629,72",
"1682138211,385","37,47","-97","620,35",
"1682138211,387","36","-98","618,81",
"1682138211,388","34,53","-99","628,14",
"1682138211,39","33,06","-100","634,52",
"1682138211,392","31,59","-101","628,14",
"1682138211,393","30,12","-102","637,76",
"1682138211,395","28,65","-103","631,31",
"1682138211,396","27,18","-104","625",
"1682138211,398","25,71","-105","623,44",
"1682138211,4","24,24","-106","628,14",
"1682138211,401","22,78","-107","637,76",
"1682138211,403","21,31","-108","634,52",
"1682138211,404","19,84","-109","639,39",
"1682138211,406","18,37","-110","634,52",
"1682138211,407","16,9","-111","628,14",
"1682138211,409","15,43","-112","623,44",
"1682138211,411","13,96","-113","632,91",
"1682138211,412","12,49","-114","639,39",
"1682138211,414","11,02","-115","636,13",
"1682138211,415","9,55","-116","641,03",
"1682138211,417","8,08","-117","637,76",
"1682138211,418","6,61","-118","629,72",
"1682138211,42","5,14","-119","626,57",
"1682138211,422","3,67","-120","636,13",
"1682138211,423","2,2","-121","642,67",
"1682138211,425","0,73","-122","637,76",
"1682138211,426","-0,73","-123","644,33",
"1682138211,428","-2,2","-124","639,39",
"1682138211,43","-3,67","-125","632,91",
"1682138211,431","-5,14","-126","629,72",
"1682138211,433","-6,61","-127","637,76",
"1682138211,434","-8,08","-128","642,67",
"1682138211,436","-9,55","-129","641,03",
"1682138211,437","-11,02","-130","645,99",
"1682138211,439","-12,49","-131","641,03",
"1682138211,44","-13,96","-132",,
"1682138211,441",,,"632,91",
"1682138211,442","-15,43","-133","631,31",
"1682138211,444","-16,9","-134","639,39",
"1682138211,445","-18,37","-135","644,33",
"1682138211,447","-19,84","-136","642,67",
"1682138211,448","-21,31","-137","647,67",
"1682138211,45","-22,78","-138","642,67",
"1682138211,451","-24,25","-139","636,13",
"1682138211,453","-25,71","-140","632,91",
"1682138211,455","-27,18","-141","639,39",
"1682138211,456","-28,65","-142","647,67",
"1682138211,458","-30,12","-143","642,67",
"1682138211,459","-31,59","-144","649,35",
"1682138211,461","-33,06","-145","644,33",
"1682138211,462","-34,53","-146","637,76",
"1682138211,464","-36","-147","632,91",
"1682138211,465","-37,47","-148","642,67",
"1682138211,467","-38,94","-149","647,67",
"1682138211,469","-40,41","-150","644,33",
"1682138211,47","-41,88","-151","649,35",
"1682138211,472","-43,35","-152","644,33",
"1682138211,473","-44,82","-153","637,76",
"1682138211,475","-46,29","-154","632,91",
"1682138211,476","-47,76","-155","642,67",
"1682138211,478","-49,22","-156","647,67",
"1682138211,479","-50,69","-157","645,99",
"1682138211,481","-52,16","-158","649,35",
"1682138211,482","-53,63","-159",,
"1682138211,483",,,"647,67",
"1682138211,484","-55,1","-160","637,76",
"1682138211,486","-56,57","-161","634,52",
"1682138211,487","-58,04","-162","642,67",
"1682138211,489","-59,51","-163","651,04",
"1682138211,49","-60,98","-164","644,33",
"1682138211,492","-62,45","-165","652,74",
"1682138211,493","-63,92","-166","645,99",
"1682138211,495","-65,39","-167","637,76",
"1682138211,497","-66,86","-168","636,13",
"1682138211,498","-68,33","-169","642,67",
"1682138211,5","-69,8","-170","649,35",
"1682138211,501","-71,27","-171","645,99",
"1682138211,503","-72,73","-172","651,04",
"1682138211,504","-74,2","-173","645,99",
"1682138211,506","-75,67","-174","637,76",
"1682138211,507","-77,14","-175","634,52",
"1682138211,509","-78,61","-176","642,67",
"1682138211,511","-80,08","-177","651,04",
"1682138211,512","-81,55","-178","645,99",
"1682138211,514","-83,02","-179","651,04",
"1682138211,515","-84,49","-180","647,67",
"1682138211,517","-85,96","-181","639,39",
"1682138211,518","-87,43","-182","636,13",
"1682138211,52","-88,9","-183","644,33",
"1682138211,521","-90,37","-184","651,04",
"1682138211,523","-91,84","-185","645,99",
"1682138211,524","-93,31","-186","652,74",
"1682138211,526","-94,78","-187","647,67",
"1682138211,527","-96,25","-188",,
"1682138211,528",,,"641,03",
"1682138211,529","-97,71","-189","636,13",
"1682138211,531","-99,18","-190","645,99",
"1682138211,532","-100,65","-191","651,04",
"1682138211,534","-102,12","-192","647,67",
"1682138211,535","-103,59","-193","1968,5",
"1682138211,537","-105,06","-194","647,67",
"1682138211,538","-106,53","-195","1865,67",
"1682138211,54","-108","-196","636,13",
"1682138211,542","-109,47","-197","644,33",
"1682138211,543","-110,94","-198","651,04",
"1682138211,545","-112,41","-199","647,67",
"1682138211,546","-113,88","-200","652,74",
"1682138211,548","-115,35","-201","649,35",
"1682138211,549","-116,82","-202","641,03",
"1682138211,551","-118,29","-203","636,13",
"1682138211,552","-119,76","-204","645,99",
"1682138211,554","-121,22","-205","652,74",
"1682138211,555","-122,69","-206","645,99",
"1682138211,557","-124,16","-207","654,45",
"1682138211,558","-125,63","-208","647,67",
"1682138211,56","-127,1","-209","641,03",
"1682138211,562","-128,57","-210","637,76",
"1682138211,563","-130,04","-211","644,33",
"1682138211,565","-131,51","-212","652,74",
"1682138211,566","-132,98","-213","647,67",
"1682138211,568","-134,45","-214","652,74",
"1682138211,569","-135,92","-215","649,35",
"1682138211,571","-137,39","-216","639,39",
"1682138211,572","-138,86","-217","636,13",
"1682138211,574","-140,33","-218","644,33",
"1682138211,576","-141,8","-219","652,74",
"1682138211,577","-143,27","-220","645,99",
"1682138211,579","-144,74","-221","651,04",
"1682138211,58","-146,2","-222","649,35",
"1682138211,582","-147,67","-223","639,39",
"1682138211,583","-149,14","-224","636,13",
"1682138211,585","-150,61","-225","645,99",
"1682138211,586","-152,08","-226","652,74",
"1682138211,588","-153,55","-227","645,99",
"1682138211,589","-155,02",,,
"1682138211,59",,"-228","654,45",
"1682138211,591","-156,49","-229","647,67",
"1682138211,593","-157,96","-230","641,03",
"1682138211,594","-159,43","-231","636,13",
"1682138211,596","-160,9","-232","645,99",
"1682138211,597","-162,37","-233","651,04",
"1682138211,599","-163,84","-234","647,67",
"1682138211,6","-165,31","-235","654,45",
"1682138211,602","-166,78","-236","647,67",
"1682138211,603","-168,25","-237","639,39",
"1682138211,605","-169,71","-238","637,76",
"1682138211,607","-171,18","-239","645,99",
"1682138211,608","-172,65","-240","651,04",
"1682138211,61","-174,12","-241","647,67",
"1682138211,611","-175,59","-242","652,74",
"1682138211,613","-177,06","-243","649,35",
"1682138211,614","-178,53","-244","639,39",
"1682138211,616","-180","-245","637,76",
"1682138211,617","-181,47","-246","645,99",
"1682138211,619","-182,94","-247","652,74",
"1682138211,62","-184,41","-248","649,35",
"1682138211,622","-185,88","-249","652,74",
"1682138211,624","-187,35","-250","649,35",
"1682138211,625","-188,82","-251","641,03",
"1682138211,627","-190,29","-252","637,76",
"1682138211,628","-191,76","-253","645,99",
"1682138211,63","-193,22","-254","652,74",
"1682138211,631","-194,69","-255","647,67",
"1682138211,633","-196,16","-256","654,45",
"1682138211,634","-197,63","-257","649,35",
"1682138211,636","-199,1","-258","641,03",
"1682138211,637","-200,57","-259","637,76",
"1682138211,639","-202,04","-260","645,99",
"1682138211,641","-203,51","-261","652,74",
"1682138211,642","-204,98","-262","647,67",
"1682138211,644","-206,45","-263","654,45",
"1682138211,645","-207,92","-264","647,67",
"1682138211,647","-209,39","-265","641,03",
"1682138211,648","-210,86","-266","637,76",
"1682138211,65","-212,33","-267","645,99",
"1682138211,651","-213,8","-268","652,74",
"1682138211,653","-215,27","-269","649,35",
"1682138211,654","-216,74","-270","652,74",
"1682138211,656","-218,2","-271","651,04",
"1682138211,657","-219,67",,,
"1682138211,658",,"-272","641,03",
"1682138211,659","-221,14","-273","639,39",
"1682138211,661","-222,61","-274","645,99",
"1682138211,662","-224,08","-275","652,74",
"1682138211,664","-225,55","-276","649,35",
"1682138211,665","-227,02","-277","654,45",
"1682138211,667","-228,49","-278","649,35",
"1682138211,668","-229,96","-279","642,67",
"1682138211,67","-231,43","-280","639,39",
"1682138211,671","-232,9",,,
"1682138211,672",,"-281","645,99",
"1682138211,673","-234,37","-282","652,74",
"1682138211,675","-235,84","-283","649,35",
"1682138211,676","-237,31","-284","654,45",
"1682138211,678","-238,78","-285","649,35",
"1682138211,679","-240,25","-286","641,03",
"1682138211,681","-241,71","-287","639,39",
"1682138211,682","-243,18","-288","644,33",
"1682138211,684","-244,65","-289","654,45",
"1682138211,685","-246,12","-290","647,67",
"1682138211,687","-247,59","-291","656,17",
"1682138211,688","-249,06","-292","649,35",
"1682138211,69","-250,53","-293","1879,7",
"1682138211,691","-252",,,
"1682138211,692",,"-294","639,39",
"1682138211,693","-253,47","-295","645,99",
"1682138211,695","-254,94","-296","654,45",
"1682138211,696","-256,41","-297","649,35",
"1682138211,698","-257,88","-298","654,45",
"1682138211,699","-259,35","-299","649,35",
"1682138211,701","-260,82","-300","642,67",
"1682138211,702","-262,29","-301","639,39",
"1682138211,704","-263,76","-302","645,99",
"1682138211,705","-265,23","-303","652,74",
"1682138211,707","-266,69","-304","649,35",
"1682138211,708","-268,16","-305","656,17",
"1682138211,71","-269,63","-306","649,35",
"1682138211,712","-271,1","-307","641,03",
"1682138211,713","-272,57","-308","637,76",
"1682138211,715","-274,04","-309","645,99",
"1682138211,716","-275,51","-310","652,74",
"1682138211,718","-276,98","-311","647,67",
"1682138211,719","-278,45","-312","654,45",
"1682138211,721","-279,92","-313","647,67",
"1682138211,722","-281,39","-314","641,03",
"1682138211,724","-282,86","-315","637,76",
"1682138211,726","-284,33","-316","645,99",
"1682138211,727","-285,8","-317","654,45",
"1682138211,729","-287,27","-318","647,67",
"1682138211,73","-288,74","-319","654,45",
"1682138211,732","-290,2","-320","647,67",
"1682138211,733","-291,67","-321","641,03",
"1682138211,735","-293,14","-322","637,76",
"1682138211,736","-294,61","-323","645,99",
"1682138211,738","-296,08","-324","652,74",
"1682138211,739","-297,55","-325","647,67",
"1682138211,741","-299,02","-326","654,45",
"1682138211,742","-300,49","-327","649,35",
"1682138211,744","-301,96","-328","641,03",
"1682138211,746","-303,43","-329","639,39",
"1682138211,747","-304,9","-330","645,99",
"1682138211,749","-306,37","-331","651,04",
"1682138211,75","-307,84","-332","647,67",
"1682138211,752","-309,31","-333","654,45",
"1682138211,753","-310,78","-334","649,35",
"1682138211,755","-312,25","-335","639,39",
"1682138211,756","-313,72","-336","637,76",
"1682138211,758","-315,18","-337","645,99",
"1682138211,76","-316,65","-338","654,45",
"1682138211,761","-318,12","-339","647,67",
"1682138211,763","-319,59","-340","654,45",
"1682138211,764","-321,06","-341","651,04",
"1682138211,766","-322,53","-342","641,03",
"1682138211,767","-324","-343","639,39",
"1682138211,769","-325,47","-344","645,99",
"1682138211,77","-326,94","-345","652,74",
"1682138211,772","-328,41","-346","1923,08",
"1682138211,773","-329,88","-347","656,17",
"1682138211,775","-331,35","-348","1937,98",
"1682138211,776","-332,82","-349","641,03",
"1682138211,778","-334,29","-350","639,39",
"1682138211,78","-335,76","-351","647,67",
"1682138211,781","-337,23","-352","652,74",
"1682138211,783","-338,69","-353","649,35",
"1682138211,784","-340,16","-354","654,45",
"1682138211,786","-341,63","-355","649,35",
