timestamp(ms),Angle,Pulses,Speed,Time,
"1682182614,614","180","0","0,14","7180056",
"1682182614,628","178,53","-1","72,48","7193852",
"1682182614,635","177,06","-2","135,35","7201240",
"1682182614,641","175,59","-3","173,25","7207012",
"1682182614,646","174,12","-4","203,58","7211924",
"1682182614,65","172,65","-5","302,66","7215228",
"1682182614,654","171,18","-6","256,15","7219132",
"1682182614,657","169,71","-7","382,26","7221748",
"1682182614,661","168,24","-8","294,81","7225140",
"1682182614,664","166,78","-9","450,45","7227360",
"1682182614,667","165,31","-10","478,01","7229452",
"1682182614,67","163,84","-11","334,22","7232444",
"1682182614,673","162,37","-12","550,66","7234260",
"1682182614,676","160,9","-13","366,57","7236988",
"1682182614,678","159,43",,,,
"1682182614,679",,"-14","378,21","7239632",
"1682182614,681","157,96","-15","652,74","7241164",
"1682182614,683","156,49",,,,
"1682182614,684",,"-16","396,83","7243684",
"1682182614,686","155,02","-17","677,51","7245160",
"1682182614,688","153,55","-18","408,5","7247608",
"1682182614,691","152,08","-19","741,84","7248956",
"1682182614,693","150,61","-20","433,28","7251264",
"1682182614,695","149,14","-21","437,83","7253548",
"1682182614,698","147,67","-22","448,03","7255780",
"1682182614,7","146,2","-23","452,08","7257992",
"1682182614,702","144,73","-24","844,59","7259176",
"1682182614,704","143,27","-25","457,04","7261364",
"1682182614,706","141,8","-26","468,16","7263500",
"1682182614,708","140,33","-27","478,01","7265592",
"1682182614,71","138,86","-28","481,7",,
"1682182614,711",,,,"7267668",
"1682182614,713","137,39","-29","490,2","7269708",
"1682182614,715","135,92","-30","492,13","7271740",
"1682182614,717","134,45","-31","490,2","7273780",
"1682182614,719","132,98","-32","493,1","7275808",
"1682182614,721","131,51","-33","503,02","7277796",
"1682182614,723","130,04","-34","512,3","7279748",
"1682182614,725","128,57","-35","513,35","7281696",
"1682182614,726","127,1","-36","520,83","7283616",
"1682182614,728","125,63","-37","1121,08","7284508",
"1682182614,73","124,16","-38","1106,19","7285412",
"1682182614,732","122,69","-39","519,75","7287336",
"1682182614,734","121,22","-40","528,54","7289228",
"1682182614,736","119,75","-41","537,63","7291088",
"1682182614,738","118,29","-42","537,63","7292948",
"1682182614,74","116,82","-43","544,66","7294784",
"1682182614,742","115,35","-44","1225,49","7295600",
"1682182614,743","113,88","-45","539,96","7297452",
"1682182614,745","112,41","-46","539,96","7299304",
"1682182614,747","110,94","-47","550,66","7301120",
"1682182614,749","109,47","-48","1302,08","7301888",
"1682182614,751","108","-49","1295,34","7302660",
"1682182614,752","106,53","-50","564,33","7304432",
"1682182614,754","105,06","-51","563,06","7306208",
"1682182614,756","103,59","-52","1302,08","7306976",
"1682182614,758","102,12","-53","1288,66","7307752",
"1682182614,76","100,65","-54","566,89","7309516",
"1682182614,761","99,18","-55","573,39","7311260",
"1682182614,763","97,71","-56","1381,22","7311984",
"1682182614,765","96,24","-57","580,05","7313708",
"1682182614,766","94,78","-58","576,04","7315444",
"1682182614,768","93,31","-59","1381,22","7316168",
"1682182614,77","91,84","-60","569,48","7317924",
"1682182614,772","90,37","-61","578,7","7319652",
"1682182614,773","88,9","-62","586,85","7321356",
"1682182614,775","87,43","-63","585,48","7323064",
"1682182614,777","85,96","-64","591,02","7324756",
"1682182614,778","84,49","-65","588,24","7326456",
"1682182614,78","83,02","-66","582,75","7328172",
"1682182614,782","81,55","-67","580,05","7329896",
"1682182614,784","80,08","-68","589,62","7331592",
"1682182614,785","78,61","-69","598,09","7333264",
"1682182614,787","77,14","-70","593,82","7334948",
"1682182614,789","75,67","-71","600,96","7336612",
"1682182614,79","74,2","-72","598,09","7338284",
"1682182614,792","72,73","-73","592,42","7339972",
"1682182614,794","71,27","-74","1479,29","7340648",
"1682182614,795","69,8","-75","599,52","7342316",
"1682182614,797","68,33","-76","605,33","7343968",
"1682182614,799","66,86","-77","1572,33","7344604",
"1682182614,8","65,39","-78","608,27","7346248",
"1682182614,802","63,92","-79","605,33","7347900",
"1682182614,804","62,45","-80","599,52","7349568",
"1682182614,805","60,98","-81","596,66","7351244",
"1682182614,807","59,51","-82","1592,36","7351872",
"1682182614,809","58,04","-83","611,25","7353508",
"1682182614,81","56,57","-84","608,27","7355152",
"1682182614,812","55,1","-85","1655,63","7355756",
"1682182614,813","53,63",,,,
"1682182614,814",,"-86","611,25","7357392",
"1682182614,815","52,16","-87","1582,28","7358024",
"1682182614,817","50,69","-88","602,41","7359684",
"1682182614,818","49,22","-89","611,25","7361320",
"1682182614,82","47,75","-90","1666,67","7361920",
"1682182614,822","46,29","-91","614,25","7363548",
"1682182614,823","44,82","-92","1700,68","7364136",
"1682182614,825","43,35","-93","615,76","7365760",
"1682182614,827","41,88","-94","609,76","7367400",
"1682182614,828","40,41","-95","605,33","7369052",
"1682182614,83","38,94","-96","615,76","7370676",
"1682182614,832","37,47","-97","1712,33","7371260",
"1682182614,833","36","-98","617,28","7372880",
"1682182614,835","34,53","-99","623,44","7374484",
"1682182614,836","33,06","-100","620,35","7376096",
"1682182614,838","31,59","-101","612,75","7377728",
"1682182614,84","30,12","-102","1623,38","7378344",
"1682182614,841","28,65","-103","618,81","7379960",
"1682182614,843","27,18","-104","1736,11","7380536",
"1682182614,844","25,71",,,,
"1682182614,845",,"-105","621,89","7382144",
"1682182614,846","24,24","-106","626,57","7383740",
"1682182614,848","22,78","-107","623,44","7385344",
"1682182614,849","21,31","-108","614,25","7386972",
"1682182614,851","19,84","-109","1655,63","7387576",
"1682182614,853","18,37","-110","620,35","7389188",
"1682182614,854","16,9","-111","1760,56","7389756",
"1682182614,856","15,43","-112","623,44","7391360",
"1682182614,857","13,96","-113","629,72","7392948",
"1682182614,859","12,49","-114","626,57","7394544",
"1682182614,86","11,02",,,,
"1682182614,861",,"-115","618,81","7396160",
"1682182614,862","9,55","-116","1666,67","7396760",
"1682182614,864","8,08","-117","623,44","7398364",
"1682182614,865","6,61","-118","1785,71","7398924",
"1682182614,867","5,14","-119","626,57","7400520",
"1682182614,868","3,67","-120","632,91","7402100",
"1682182614,87","2,2","-121","628,14","7403692",
"1682182614,872","0,73","-122","620,35","7405304",
"1682182614,873","-0,73","-123","617,28","7406924",
"1682182614,875","-2,2","-124","625","7408524",
"1682182614,876","-3,67","-125",,,
"1682182614,877",,,"1798,56","7409080",
"1682182614,878","-5,14","-126","628,14","7410672",
"1682182614,88","-6,61","-127","1811,59","7411224",
"1682182614,881","-8,08","-128","629,72","7412812",
"1682182614,883","-9,55","-129","623,44","7414416",
"1682182614,884","-11,02","-130","618,81","7416032",
"1682182614,886","-12,49","-131","628,14","7417624",
"1682182614,888","-13,96","-132","1811,59","7418176",
"1682182614,889","-15,43","-133","629,72","7419764",
"1682182614,891","-16,9","-134","1824,82","7420312",
"1682182614,892","-18,37","-135","631,31","7421896",
"1682182614,894","-19,84","-136","1724,14","7422476",
"1682182614,896","-21,31","-137","620,35","7424088",
"1682182614,897","-22,78","-138","629,72","7425676",
"1682182614,899","-24,25","-139","634,52","7427252",
"1682182614,9","-25,71","-140","629,72","7428840",
"1682182614,902","-27,18","-141","1824,82","7429388",
"1682182614,904","-28,65","-142","632,91","7430968",
"1682182614,905","-30,12","-143","1736,11","7431544",
"1682182614,907","-31,59","-144","621,89","7433152",
"1682182614,908","-33,06","-145","1773,05","7433716",
